"exp" "geneID"
"3286" 13.2187950749878 "YWHAB"
"36535" 13.2130776429036 "HIST1H2BM"
"8939" 13.2016741615838 "COX7A2"
"32874" 13.1945540708972 "PRELID1"
"25041" 13.1867614825306 "INAFM2"
"40009" 13.1867614825306 "EMC4"
"16133" 13.1799152083807 "RPL5"
"37706" 13.1769880715428 "SUSD6"
"30448" 13.1659273749434 "DCP_1_2"
"45932" 13.1649505102262 "ATP6V0B"
"45937" 13.1616479874378 "OST4"
"47825" 13.1589539459049 "UBE2K"
"12228" 13.1548958949278 "TCEAL6"
"25469" 13.1548958949278 "FOXI2"
"22230" 13.1517250122892 "ENST00000423293"
"13846" 13.142990813255 "TEX41"
"58137" 13.139443445227 "ENST00000434751"
"55371" 13.1333817429771 "MRPS18C"
"22391" 13.1309828439932 "ANP32AP1"
"44600" 13.1269604341339 "VPS9D1"
"35129" 13.1237313331308 "LRRN2"
"13082" 13.1213741429215 "PSMB3"
"33688" 13.1180397746444 "RPL5"
"15672" 13.1157700065724 "PCBP1"
"11863" 13.1147286629328 "HAPLN2"
"43177" 13.1136865671038 "HIST1H2BN"
"22770" 13.1110178514924 "HDAC10"
"18925" 13.1061097505071 "EIF4A2"
"28232" 13.1061097505071 "LRRC8A"
"35365" 13.0999490935408 "CSNK2B"
"55155" 13.0973841669944 "ENST00000459899"
"10" 13.0850837494759 "SLC25A6"
"12838" 13.0766830137236 "TMEM147"
"27114" 13.0732276710805 "CCDC136"
"56533" 13.0626310473801 "RPLP0"
"34682" 13.0539567934584 "MACF1"
"6939" 13.0535948178725 "PMP22"
"26333" 13.0513734489656 "TARDBP"
"12476" 13.0408223759268 "NDST1"
"22209" 13.0377007723918 "CSNK2B"
"39395" 13.0377007723918 "RCAN2"
"42630" 13.0340851539096 "BBC3"
"24251" 13.0320361016632 "SUMO2"
"55573" 13.0320361016632 "TCEB1"
"32005" 13.026591996354 "RNF130"
"29653" 13.0230391843793 "MAP7D1"
"55435" 13.0230391843793 "GPM6A"
"39214" 13.0203915604657 "SLC5A3"
"6433" 13.0197440696535 "DDX1"
"19169" 13.0173248233474 "ENST00000426330"
"54513" 13.0127810374317 "ATP5J"
"22707" 13.0074013156015 "lnc-DNASE1L3-1"
"21874" 13.0027968233948 "ILK"
"22060" 12.9993694418723 "HMGN2"
"41542" 12.9955511987235 "STARD10"
"21427" 12.9877151134806 "ATXN10"
"57529" 12.985400016648 "ENST00000602906"
"7162" 12.9826356608235 "RPS3"
"53766" 12.9802613825672 "ENST00000452501"
"49352" 12.9769504138842 "EEF1A1"
"16882" 12.9704425561456 "HIPK1"
"39878" 12.9704425561456 "ARHGAP4"
"54251" 12.965297520321 "TMEM258"
"55388" 12.965297520321 "SKP1"
"28211" 12.9623307949674 "NFIB"
"49050" 12.9623307949674 "RPS10"
"8281" 12.9599185249174 "MAPK8IP3"
"10637" 12.9445231894556 "NCOR2"
"18347" 12.9420503797899 "LRRC26"
"10451" 12.939048534122 "RBM42"
"28477" 12.939048534122 "LOC100133182"
"50106" 12.9323011204718 "HIST1H4D"
"32575" 12.9272473322926 "NISCH"
"39158" 12.9235072404342 "RPL4"
"35161" 12.9196997982057 "C8orf82"
"6643" 12.9171351850349 "CACNG7"
"5815" 12.9124244910013 "SGK1"
"31036" 12.9124244910013 "PPP1R14A"
"54359" 12.9036337601175 "FAT3"
"48038" 12.8994677597438 "ENST00000396982"
"38379" 12.8963713891818 "FBRS"
"16939" 12.8937243090352 "PSMA2"
"5096" 12.8904301031626 "RPL15"
"24933" 12.8904301031626 "QKI"
"45538" 12.8876497118363 "SEC11C"
"44556" 12.8777800897226 "PPP1R9B"
"25338" 12.8740512093205 "PTOV1"
"37751" 12.8740512093205 "ENST00000513394"
"7322" 12.8722289633969 "XLOC_l2_008285"
"24241" 12.865667243141 "PAM"
"52599" 12.8588674759665 "POTEKP"
"29002" 12.8541200450137 "GLUD2"
"2245" 12.849752527937 "KRT81"
"39360" 12.8442791433648 "DYNLL2"
"49040" 12.8369363256414 "lnc-DUSP1-2"
"46943" 12.8318121898793 "DHRS1"
"19264" 12.830820065088 "HIST1H3E"
"23415" 12.8289801191735 "GNG5"
"12613" 12.8255156017402 "CTNND2"
"49274" 12.8255156017402 "RPL17"
"7772" 12.8225454758656 "TAB2"
"46479" 12.8225454758656 "PICALM"
"44504" 12.820229559909 "ZNF625"
"27505" 12.8164296771878 "ENST00000526377"
"32861" 12.8150337164784 "SEC61B"
"8919" 12.8089720871822 "lnc-MINA-3"
"27573" 12.8048207977854 "RANGAP1"
"13937" 12.7887991708416 "ENST00000416785"
"14559" 12.7860491031655 "XLOC_l2_013383"
"55013" 12.7860491031655 "H3F3C"
"32426" 12.7749225948276 "LHX2"
"10961" 12.7740180650599 "FLNA"
"51091" 12.7740180650599 "YBX1"
"39762" 12.7731129678213 "PTPLAD1"
"2949" 12.7707015108932 "A_33_P3219454"
"14202" 12.7707015108932 "TMEM223"
"12246" 12.7655902567583 "EEF1A1"
"47893" 12.7655902567583 "SORL1"
"43869" 12.7621083851368 "MRFAP1"
"1021" 12.7604162751612 "COX17"
"33731" 12.7581669535388 "PDLIM7"
"54411" 12.7581669535388 "HIST1H2BJ"
"18226" 12.7556806955185 "METAP2"
"30035" 12.7556806955185 "IDH2"
"3682" 12.7497928908955 "EIF3E"
"22540" 12.7497928908955 "CHCHD10"
"22640" 12.7458976357045 "APOA1BP"
"20086" 12.7390856756277 "ARHGAP33"
"39216" 12.7350303696665 "LPCAT3"
"12126" 12.7322262541779 "ARAFP2"
"57124" 12.7295380675505 "ENST00000472981"
"33733" 12.7268904662185 "GSTM1"
"19759" 12.7135790831305 "ARL8B"
"38090" 12.7135790831305 "DYNLL1"
"25988" 12.7117266439723 "ENST00000448566"
"3221" 12.7086459233468 "DPYSL3"
"11147" 12.6986822055942 "CD72"
"52182" 12.6931999173649 "RPL14"
"11312" 12.690832840248 "POR"
"3637" 12.6876654772802 "SAR1A"
"2399" 12.6862337409683 "MORF4L2"
"11429" 12.6846320272215 "RAB10"
"341" 12.6799808765239 "RBBP4"
"51980" 12.677534317303 "AKR1B1"
"19889" 12.6756139812274 "TAGLN"
"51406" 12.6746633613824 "AP2S1"
"41499" 12.671776152321 "ENST00000506892"
"54814" 12.6635615611602 "MAT2A"
"28146" 12.6614369596567 "CLIC5"
"49104" 12.6561250312253 "ENY2"
"55881" 12.6486660181867 "NDUFV2"
"55518" 12.6462996857269 "EIF5A"
"7351" 12.6430329153648 "PBX1"
"11932" 12.6430329153648 "ADAT2"
"17176" 12.6375502435313 "CALM2"
"44292" 12.6324037569195 "LOC400558"
"6170" 12.6299618065076 "HNRNPU"
"18207" 12.6268804642345 "LOC645553"
"36762" 12.6268804642345 "BAG6"
"53110" 12.622687310021 "HIST1H2BG"
"4929" 12.6206706951667 "ENST00000482584"
"33957" 12.6206706951667 "ENST00000422772"
"18685" 12.6148393784716 "RAP1B"
"33229" 12.6148393784716 "CDC42EP5"
"48467" 12.6066511544462 "PHB2"
"38053" 12.6044189392108 "CLEC2D"
"40649" 12.5994986417203 "MRPS21"
"17589" 12.5874184213406 "LIMCH1"
"31062" 12.5846194807779 "DGKZ"
"39873" 12.580037850649 "AHNAK"
"22016" 12.5785560716112 "GTF2F1"
"22973" 12.5759649163079 "YBX1"
"17106" 12.5690737838758 "EEF1D"
"51880" 12.5690737838758 "NDUFB11"
"56587" 12.5665051664008 "SLC35E4"
"50740" 12.5621893362492 "YY1"
"56357" 12.5595685911988 "COX5B"
"46950" 12.552758588231 "ZBTB20"
"31045" 12.5503210871718 "HIST1H2BI"
"32484" 12.5503210871718 "RER1"
"23572" 12.5438986695237 "DCTN3"
"37059" 12.5438986695237 "CUL3"
"5153" 12.5417975799966 "TMSB4X"
"24715" 12.5295563565422 "NIPBL"
"45244" 12.5254838309243 "NPM1"
"2759" 12.5215107822715 "MAT2A"
"14092" 12.5196108233383 "MFF"
"17452" 12.5172338154856 "PSMB1"
"5045" 12.5142247433142 "ENST00000588562"
"16851" 12.5142247433142 "KPNA4"
"16842" 12.5125209274767 "RAP1B"
"14368" 12.5093547162914 "ENST00000432629"
"9131" 12.5051774120643 "ZFAND5"
"16656" 12.5031197186516 "NDEL1"
"40147" 12.5021371404021 "IP6K1"
"45063" 12.4989242956723 "EPN2"
"52057" 12.4989242956723 "MED25"
"39101" 12.4966199233831 "SEPT7"
"22172" 12.4949784874874 "MT1E"
"37765" 12.4949784874874 "MNT"
"22885" 12.4919106607386 "ZNF213-AS1"
"47812" 12.4908905787591 "POTEI"
"28665" 12.4882505291509 "VPS37D"
"37164" 12.4857374003633 "PFDN2"
"26356" 12.4824517694619 "SET"
"16810" 12.4811125885181 "STRN4"
"56704" 12.4778645697969 "NCK2"
"13074" 12.4723684131825 "PSMA4"
"41918" 12.4723684131825 "EMC7"
"6797" 12.4693792816941 "SERPINE2"
"57939" 12.4664992644987 "A_19_P00808923"
"44415" 12.4658011318565 "CELF2"
"5680" 12.4657418012124 "PSMD6"
"12393" 12.4627974535921 "RBBP7"
"48616" 12.4582580060139 "NCAM1"
"41498" 12.4559671809786 "RAB1B"
"41856" 12.453678836042 "UBE2D3"
"52629" 12.4508163589643 "ENST00000496042"
"26536" 12.4494658981606 "MT1B"
"53078" 12.4494658981606 "CSDE1"
"10125" 12.4462073148703 "TPP1"
"30461" 12.4462073148703 "EIF3D"
"47806" 12.440854667363 "MT3"
"1951" 12.4363685784467 "PDIA3"
"10377" 12.4363685784467 "SEPT7"
"52597" 12.4283206183702 "DBN1"
"31203" 12.4257507439003 "XLOC_l2_012371"
"46394" 12.4257507439003 "lnc-NLGN2-1"
"46937" 12.4188230053672 "ENST00000406156"
"28158" 12.4176620020029 "GSTM2P1"
"5437" 12.416500063573 "CASKIN1"
"4995" 12.4141544951008 "RPS29"
"13954" 12.4082991120983 "AURKAIP1"
"22495" 12.4041699980164 "MCEE"
"40958" 12.4031176376529 "ENST00000569826"
"54362" 12.4006517293306 "COL8A1"
"20027" 12.3977424459379 "CADM1"
"23446" 12.3977424459379 "NDUFS3"
"48049" 12.3946327302069 "DPYSL5"
"15884" 12.3886621816467 "BRK1"
"29712" 12.3849420858021 "HSP90AB1"
"45316" 12.3819397803123 "TAF10"
"30487" 12.3774536253773 "FAM214A"
"53131" 12.3774536253773 "HIST1H4L"
"41033" 12.375043653606 "ENST00000534819"
"6796" 12.3733678702164 "REEP2"
"16042" 12.3707500145141 "RNPEPL1"
"30053" 12.3680949119336 "CFL1"
"51552" 12.3680949119336 "FOXG1"
"9547" 12.3661442926651 "RPL21"
"4813" 12.3638130969021 "RBMS1"
"55359" 12.3638130969021 "lnc-TMEM106C-2"
"48862" 12.3570456539337 "PAFAH1B1"
"28683" 12.3547324886066 "ENST00000507324"
"52814" 12.3547324886066 "ZDHHC8"
"7338" 12.3403247068553 "lnc-HSP90AA1-2"
"35029" 12.3403247068553 "ATXN2"
"14770" 12.3353548142758 "FOS"
"38066" 12.3353548142758 "NDUFB6"
"12174" 12.333073154211 "TAX1BP1"
"11059" 12.3287928028905 "JAM2"
"11541" 12.3265542337825 "PDGFA"
"25329" 12.3239571542632 "H2AFV"
"42119" 12.3219593109951 "ARF5"
"49650" 12.3190716320076 "RHOQ"
"40511" 12.3147562169671 "EIF4E2"
"35804" 12.3121783200018 "ANXA2"
"21727" 12.3091491466157 "RPL39"
"8316" 12.3068730853497 "PSENEN"
"26771" 12.3058354735673 "HNRNPA1"
"5308" 12.29790331181 "XPR1"
"31263" 12.2961627493891 "ENST00000492051"
"8572" 12.2942901545792 "TOM1"
"3246" 12.2925315308358 "STMN2"
"23477" 12.2925315308358 "PCBP1-AS1"
"50810" 12.2908530235314 "THRA"
"39140" 12.2839885362766 "TSPAN7"
"30158" 12.281706893751 "VEZF1"
"22178" 12.2752422089453 "MKL2"
"32370" 12.2752422089453 "ENST00000539977"
"4625" 12.2737376981605 "lnc-C17orf62-1"
"8796" 12.272474639486 "WWTR1"
"41076" 12.2694860899381 "ENST00000552182"
"6610" 12.2685489159836 "HRAS"
"51030" 12.2658358409229 "MAGED1"
"54577" 12.2658358409229 "ZFAND6"
"24841" 12.263238825615 "SRSF5"
"26717" 12.263238825615 "RAB2A"
"45680" 12.260070005489 "RAPGEF2"
"15296" 12.2582901775993 "STUB1"
"2091" 12.2561500773073 "EEF1A1"
"23725" 12.2542388471699 "VPS11"
"57514" 12.2498517223696 "GALNT16"
"44926" 12.2480521743128 "TIMM17B"
"23193" 12.2460028977938 "PRDX6"
"50562" 12.2460028977938 "lnc-VWF-2"
"6880" 12.2356057873995 "COPS5"
"42204" 12.2333960781315 "NUTF2"
"50088" 12.2313544371499 "ENST00000321418"
"30165" 12.2284655086388 "ENST00000479057"
"28324" 12.2276814971103 "FAM155A-IT1"
"6574" 12.2225121206362 "ENST00000314255"
"25066" 12.2214048090221 "BAI2"
